tick,employed_households(Über Haushalte),BeschäftigteLeute(über Unternehmen),openPositions,durchschnittsgehalt,durchschnittspreis,durchschnittsinventar,gesamtNachfrageLetzterMonat,geplanterMonatlicherKonsum(Haushalte),allUnternehmenMoney,allHaushalteMoney,allMoney
39606.0,989,989,22,1.0164495723847515,1.8052861719805833,596.24,111382.64751298154,34394.55752273489,76919.52596128889,123080.47403871115,200000.00000000006
39627.0,985,985,23,1.0177303199274343,1.807078838435571,605.43,104076.17703158398,34629.349539526185,70453.80989352573,129546.1901064743,200000.00000000003
39648.0,988,988,19,1.0133010245134046,1.8069918234749245,619.05,104376.39870636161,34221.24868789493,70674.26024305154,129325.73975694871,200000.00000000023
39669.0,990,990,17,1.0140686099382794,1.8076346697120977,632.35,89448.66494138946,34585.00703980769,71392.3014188625,128607.69858113785,200000.00000000035
39690.0,987,987,9,1.0075438404372807,1.8051028672103342,648.49,84529.65061217203,34560.83909142584,70292.66207749698,129707.33792250336,200000.00000000035
39711.0,974,974,6,1.007043245699733,1.8023084840174906,622.99,112758.75502080451,34829.54337851435,76218.52289234647,123781.47710765369,200000.00000000017
39732.0,971,971,2,1.0047018030081234,1.8005912874138255,619.06,101231.37744223143,34775.102573842196,70697.62072159076,129302.37927840957,200000.00000000035
39753.0,966,966,0,1.0006910389840165,1.797814127687947,607.29,107367.56395334609,34665.554281236175,70506.18240892672,129493.81759107343,200000.00000000015
39774.0,963,963,0,0.9934045372078004,1.7974409972081689,616.58,127266.81817522396,34777.73468019094,68655.76910790204,131344.23089209845,200000.0000000005
39795.0,968,968,0,0.9890250894300735,1.7970631373487174,572.68,106985.52805148497,34510.49565683021,77308.43440192878,122691.56559807132,200000.00000000012
39816.0,964,964,1,0.9828177110302433,1.7938911359056542,520.37,117172.99653689965,34691.38475276994,77542.36209153174,122457.63790846804,199999.99999999977
39837.0,963,963,1,0.9822237498259024,1.7908748356526614,533.99,130861.0376621746,34870.230537713745,66372.596317384,133627.40368261587,199999.99999999988
39858.0,969,969,1,0.9841054381847322,1.7914939712350144,532.37,131179.0520627608,34930.74984983989,70507.2251229903,129492.77487700984,200000.00000000015
39879.0,979,979,3,0.9835545500034665,1.7895704781656607,509.0,99450.7643546068,34705.97482890959,73474.16494089908,126525.83505910108,200000.00000000017
39900.0,979,979,2,0.9860697092306852,1.7874051378712275,501.72,135379.41283196985,34777.05738881396,72676.55714164395,127323.44285835641,200000.00000000035
39921.0,984,984,2,0.9875239079564385,1.7874615671355683,536.73,119469.47792782148,34873.76969110525,67400.96845564955,132599.03154435064,200000.00000000017
39942.0,991,991,8,0.9797136770548331,1.7883782919517852,517.32,137801.16103938903,34559.74332854097,74367.46797316421,125632.53202683601,200000.00000000023
39963.0,991,991,15,0.9805673505881864,1.7875408229529663,528.91,106901.74397105801,35012.173829079235,68115.23017116485,131884.76982883504,199999.99999999988
39984.0,991,991,18,0.9876101877476873,1.7858813291948306,547.88,131351.0710358681,35003.97664214195,70319.69756134413,129680.30243865581,199999.99999999994
40005.0,992,992,15,0.9920073373355554,1.7869743837602325,549.94,116692.42661285728,35024.10464268552,71347.3534559734,128652.64654402649,199999.99999999988
40026.0,991,991,11,0.9919780515709801,1.7843160591956513,565.6,129275.49217709452,34893.725338321005,69797.55889300705,130202.44110699295,200000.0
40047.0,984,984,15,0.9891939695201721,1.7835534633475132,528.75,133103.5583523963,35039.980692489145,78580.14266404434,121419.85733595575,200000.0000000001
40068.0,992,992,8,0.9880924366732793,1.782659271237391,537.1,130691.8003757844,34840.93164400718,70009.97703325869,129990.02296674132,200000.0
40089.0,994,994,12,0.9859445776135839,1.7798855628610952,534.04,118632.4938110546,35103.743478995726,72401.88341797475,127598.11658202512,199999.99999999988
40110.0,991,991,20,0.9892745057075123,1.779253696898088,492.08,104056.29254167437,35184.923912750324,79190.86486759888,120809.1351324012,200000.0000000001
40131.0,993,993,19,1.0014295979178631,1.7794848024843661,498.55,121919.247445777,35117.73696705744,71507.05248653486,128492.9475134654,200000.00000000026
40152.0,992,992,22,1.0038393792428082,1.780571705635331,495.63,144881.7924336385,34727.85832163512,75043.15529748464,124956.84470251563,200000.0000000003
40173.0,994,994,33,1.001654524082849,1.7804105825406733,501.63,149836.6675948274,35134.48961593169,71616.73962175979,128383.2603782406,200000.00000000038
40194.0,995,995,37,1.0023459355073505,1.7807334347233736,489.06,110432.95644528887,35125.61809004158,73460.4730820205,126539.52691797967,200000.00000000017
40215.0,995,995,23,1.0038857808851924,1.7795360946745529,485.36,120344.80596600939,35162.067750416165,71049.9825108293,128950.01748917102,200000.00000000032
40236.0,992,992,17,1.0110504521367927,1.778544073577265,482.34,143800.32509973686,34866.68113713494,73107.44372042069,126892.55627957975,200000.00000000044
40257.0,992,992,20,1.0089389373711466,1.7790878283356468,523.42,139994.92647634467,35155.07513016105,64084.70644233503,135915.29355766528,200000.00000000032
40278.0,994,994,20,1.005989783594914,1.7795491101076761,567.77,120054.79732838552,35040.97753721268,64941.00390333903,135058.99609666166,200000.0000000007
40299.0,989,989,17,1.0050168864197777,1.7782908556001125,568.1,116603.14439850274,34994.71443067791,72273.4656187529,127726.53438124771,200000.0000000006
40320.0,986,986,16,1.0061225089061303,1.7801583946211108,566.85,146427.78801116487,35095.27404632912,71916.26479982371,128083.73520017676,200000.00000000047
40341.0,989,989,18,1.0057080143205068,1.781409112599505,564.03,124741.6430015275,34996.01672378993,72508.2428633502,127491.75713665041,200000.0000000006
40362.0,987,987,20,1.006616480338277,1.7828619037392515,531.6,128329.33793460499,35088.47332362488,77716.71707933955,122283.28292066108,200000.00000000064
40383.0,991,991,13,1.0090836567329635,1.7836632310682592,554.36,106760.40620727222,34996.04833003488,67147.53842615602,132852.46157384446,200000.00000000047
40404.0,994,994,6,1.0065988871424707,1.7833131107517035,570.64,103765.33865760866,35073.80824844804,66011.78096511334,133988.21903488736,200000.0000000007
40425.0,984,984,11,1.0017052281882644,1.7811198394565662,559.12,129590.94112772516,34966.10154185566,73626.25875708942,126373.7412429115,200000.00000000093
40446.0,989,989,11,1.001943306040156,1.7807754295793006,524.97,123294.27065643904,35049.419977755206,76909.19685104332,123090.80314895764,200000.00000000096
40467.0,996,996,13,0.9981473927403047,1.7819814155371145,533.14,113698.34668092191,35103.39965433366,71803.47343108877,128196.52656891214,200000.00000000093
40488.0,992,992,19,1.0004211320475016,1.7829615176989073,560.46,130162.45339351679,35134.110455243084,67733.18282149384,132266.8171785068,200000.00000000064
40509.0,996,996,21,0.9957356449222171,1.784033159994683,622.68,154444.74995819174,35039.11181960666,61468.13894705714,138531.86105294354,200000.00000000067
