Tick,Zentralbankzins,Realzins,Investition,Konsum,Staatsausgaben,Aktive Kerdite,Kredit Anfragen,Anzahl Unternehmen
46,0.02,-0.4300000000000002,-67.69920306799284,83.44320378147954,0.0,1.0,19.0,10.0
47,0.02,-0.4400000000000002,-67.69920306799284,83.44320378147954,0.0,1.0,19.0,10.0
48,0.02,-0.45000000000000023,0.0,0.0,7.079131195125223,1.0,19.0,10.0
49,0.02,-0.46000000000000024,-150.8101373479925,183.59494981494737,0.0,1.0,19.0,10.0
50,0.02,-0.47000000000000025,-150.8101373479925,183.59494981494737,9.14854181880962,1.0,19.0,10.0
51,0.02,-0.48000000000000026,-192.1153414000976,232.99094595330985,0.0,1.0,19.0,10.0
52,0.02,-0.49000000000000027,0.0,0.0,0.0,1.0,19.0,10.0
53,0.02,-0.5000000000000002,0.0,0.0,0.0,1.0,19.0,10.0
54,0.02,-0.5100000000000002,-359.63477957713695,431.56173549256437,25.458952805004095,1.0,19.0,10.0
55,0.02,-0.5200000000000002,-519.3626372220837,621.1984484421,0.0,1.0,19.0,10.0
56,0.02,-0.5300000000000002,-931.2026366334238,1110.2800667552358,0.0,1.0,19.0,10.0
57,0.02,-0.5400000000000003,-1133.3925917663703,1343.2801087601422,0.0,1.0,19.0,10.0
58,0.02,-0.5500000000000003,0.0,0.0,0.0,1.0,19.0,10.0
59,0.02,-0.5600000000000003,0.0,0.0,112.47029873470052,1.0,19.0,10.0
60,0.02,-0.5700000000000003,-2683.4442496713646,3162.6307228269648,0.0,1.0,19.0,10.0
61,0.02,-0.5800000000000003,-5236.071160436861,6154.680135952099,45.25341111733664,1.0,19.0,10.0
62,0.02,-0.5900000000000003,-777.6618456032313,909.4689380783552,0.0,1.0,19.0,10.0
63,0.02,-0.6000000000000003,-777.6618456032313,909.4689380783552,454.95720273646504,1.0,19.0,10.0
64,0.02,-0.6100000000000003,-13382.223139195037,15576.030211194224,759.3453161269356,1.0,19.0,10.0
65,0.02,-0.6200000000000003,-22075.100608582306,25635.600706740744,0.0,1.0,19.0,10.0
66,0.02,-0.6300000000000003,-33122.338484603664,38464.65114341071,0.0,1.0,19.0,10.0
67,0.02,-0.6400000000000003,-3419.080101636508,3953.311367517212,2331.923042414628,1.0,19.0,10.0
68,0.02,-0.6500000000000004,-60629.99910278035,69957.69127243885,0.0,1.0,19.0,10.0
69,0.02,-0.6600000000000004,-103786.87078405764,119754.08167391262,1373.4862902117077,1.0,19.0,10.0
70,0.02,-0.6700000000000004,-231371.12287533746,265904.1262895669,0.0,1.0,19.0,10.0
71,0.02,-0.6800000000000004,-342984.2794135546,393423.1440331949,0.0,1.0,19.0,10.0
72,0.02,-0.6900000000000004,-342984.2794135546,393423.1440331949,19886.257445953255,1.0,19.0,10.0
73,0.02,-0.7000000000000004,-583663.522095862,668252.438341639,0.0,1.0,19.0,10.0
74,0.02,-0.7100000000000004,-1393447.1119517535,1589707.2685646764,10444.255492383742,1.0,19.0,10.0
75,0.02,-0.7200000000000004,-2182725.915351103,2490152.1006118217,131668.12634048573,1.0,19.0,10.0
76,0.02,-0.7300000000000004,-6869856.912244248,7810933.201592773,366937.1986776173,1.0,19.0,10.0
77,0.02,-0.7400000000000004,-6869856.912244248,7810933.201592773,0.0,1.0,19.0,10.0
